,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate
155,Apocalypse Now,1979,8.5,94.0,665172,83.47,147,"Drama, Mystery, War            ",R
156,Memento,2000,8.4,80.0,1232368,25.54,113,"Mystery, Thriller            ",R
157,Full Metal Jacket,1987,8.3,76.0,740326,46.36,116,"Drama, War            ",R
158,The Lion King,1994,8.5,88.0,1051956,422.78,88,"Animation, Adventure, Drama            ",G
159,The Hunt,2012,8.3,77.0,329283,0.69,115,Drama            ,R
160,Mulholland Drive,2001,7.9,85.0,355562,7.22,147,"Drama, Mystery, Thriller            ",R
161,The Breakfast Club,1985,7.8,66.0,398393,45.88,97,"Comedy, Drama            ",R
162,Wind River,2017,7.7,73.0,251746,33.8,107,"Crime, Drama, Mystery            ",R
163,Iron Man,2008,7.9,79.0,1053946,318.41,126,"Action, Adventure, Sci-Fi            ",PG-13
164,Kill Bill: Vol. 1,2003,8.2,69.0,1110070,70.1,111,"Action, Crime, Drama            ",R
165,The Big Short,2015,7.8,81.0,430260,70.26,130,"Biography, Comedy, Drama            ",R
166,About Time,2013,7.8,55.0,349823,15.32,123,"Comedy, Drama, Fantasy            ",R
167,Batman Begins,2005,8.2,70.0,1462715,206.85,140,"Action, Crime, Drama            ",PG-13
168,The Sandlot,1993,7.8,55.0,93058,32.42,101,"Comedy, Drama, Family            ",PG
169,Amadeus,1984,8.4,88.0,400675,51.97,160,"Biography, Drama, Music            ",R
170,The Truman Show,1998,8.2,90.0,1072903,125.62,103,"Comedy, Drama            ",PG
171,Ratatouille,2007,8.1,96.0,732205,206.45,111,"Animation, Adventure, Comedy            ",G
172,Atonement,2007,7.8,85.0,278915,50.93,123,"Drama, Mystery, Romance            ",R
173,Watchmen,2009,7.6,56.0,551851,107.51,162,"Action, Drama, Mystery            ",R
174,Misery,1990,7.8,75.0,212849,61.28,107,"Drama, Thriller            ",R
175,2001: A Space Odyssey,1968,8.3,84.0,666618,56.95,149,"Adventure, Sci-Fi            ",G
176,Bohemian Rhapsody,2018,7.9,49.0,536397,216.43,134,"Biography, Drama, Music            ",PG-13
177,Green Book,2018,8.2,69.0,487162,85.08,130,"Biography, Comedy, Drama            ",PG-13
178,There Will Be Blood,2007,8.2,93.0,584920,40.22,158,Drama            ,R
179,"The Good, the Bad and the Ugly",1966,8.8,90.0,758393,6.1,178,"Adventure, Western            ",R
180,Star Trek,2009,7.9,82.0,603867,257.73,127,"Action, Adventure, Sci-Fi            ",PG-13
181,Dawn of the Dead,1978,7.8,71.0,121821,5.1,127,"Horror, Thriller            ",Unrated
182,The Others,2001,7.6,74.0,367948,96.52,104,"Horror, Mystery, Thriller            ",PG-13
183,Come and See,1985,8.4,,79743,,142,"Drama, Thriller, War            ",Not Rated
184,Life Is Beautiful,1997,8.6,59.0,691762,57.6,116,"Comedy, Drama, Romance            ",PG-13
