,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate
887,Crimes and Misdemeanors,1989,7.8,77.0,58383,18.25,104,"Comedy, Drama            ",PG-13
888,L'Avventura,1960,7.8,,30146,,144,"Drama, Mystery, Romance            ",Not Rated
889,The General,1926,8.2,,91831,1.03,67,"Action, Adventure, Comedy            ",Passed
890,The Umbrellas of Cherbourg,1964,7.8,86.0,28009,0.03,91,"Drama, Musical, Romance            ",Not Rated
891,Nobody Knows,2004,8.0,88.0,28356,0.68,141,Drama            ,PG-13
892,Adam's Apples,2005,7.7,51.0,51165,0.0,94,"Comedy, Crime, Drama            ",R
893,Wolf Children,2012,8.1,71.0,45221,,117,"Animation, Drama, Family            ",PG
894,Sunrise,1927,8.1,,51316,0.54,94,"Drama, Romance            ",Passed
895,Elevator to the Gallows,1958,7.9,94.0,26067,0.11,91,"Crime, Drama, Thriller            ",Not Rated
896,About Elly,2009,7.9,87.0,53834,0.11,119,"Drama, Mystery            ",TV-PG
897,You Can't Take It with You,1938,7.8,,26107,4.66,126,"Comedy, Drama, Romance            ",Passed
898,The Gold Rush,1925,8.2,,111758,5.45,95,"Adventure, Comedy, Drama            ",Passed
899,Ivan's Childhood,1962,8.0,,36936,,95,"Drama, War            ",Not Rated
900,Departures,2008,8.0,68.0,52426,1.5,130,Drama            ,PG-13
901,Le Cercle Rouge,1970,7.9,91.0,25758,0.37,140,"Crime, Drama, Thriller            ",Not Rated
902,Ace in the Hole,1951,8.1,72.0,36345,3.97,111,"Drama, Film-Noir            ",Approved
903,Sullivan's Travels,1941,7.9,,26600,,90,"Adventure, Comedy, Drama            ",Passed
904,Throne of Blood,1957,8.1,,52575,,110,"Drama, History            ",Not Rated
905,Let's Go! India,2007,8.1,68.0,80777,1.11,153,"Drama, Family, Sport            ",Not Rated
906,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,60674,1.19,113,Drama            ,Not Rated
907,Raise the Red Lantern,1991,8.1,,33005,2.6,125,"Drama, History, Romance            ",PG
908,"Spring, Summer, Fall, Winter... and Spring",2003,8.0,85.0,83365,2.38,103,"Drama, Romance            ",R
909,Dil Chahta Hai,2001,8.1,,72585,0.3,183,"Comedy, Drama, Romance            ",Not Rated
910,Down by Law,1986,7.7,75.0,52027,1.44,107,"Comedy, Crime, Drama            ",R
911,The Big Heat,1953,7.9,,27024,,89,"Crime, Film-Noir, Thriller            ",Passed
912,The Virgin Spring,1960,8.1,,29577,1.53,89,Drama            ,Not Rated
913,The Way He Looks,2014,7.9,71.0,25719,0.1,96,"Drama, Romance            ",Not Rated
914,Uri: The Surgical Strike,2019,8.2,,64167,4.19,138,"Action, Drama, History            ",Not Rated
915,The Hidden Fortress,1958,8.1,89.0,39431,,126,"Action, Adventure, Drama            ",Not Rated
916,After the Wedding,2006,7.7,78.0,35004,0.41,120,Drama            ,R
917,The Triplets of Belleville,2003,7.7,91.0,54742,7.0,80,"Animation, Comedy, Drama            ",PG-13
918,The Purple Rose of Cairo,1985,7.7,75.0,52039,10.63,82,"Comedy, Fantasy, Romance            ",PG
919,Chhichhore,2019,8.2,,54611,0.9,143,"Comedy, Drama, Romance            ",Not Rated
920,Drishyam 2,2021,8.4,,36839,,152,"Crime, Drama, Thriller            ",
921,The Girl Who Leapt Through Time,2006,7.7,,66724,,98,"Animation, Adventure, Comedy            ",TV-PG
922,Pad Man,2018,7.9,,26489,1.66,140,"Biography, Comedy, Drama            ",PG-13
923,La strada,1954,8.0,,63520,,108,Drama            ,Not Rated
924,Duck Soup,1933,7.8,93.0,60409,,69,"Comedy, Musical            ",Not Rated
925,Autumn Sonata,1978,8.1,,34699,,99,"Drama, Music            ",PG
926,The Killer,1989,7.8,82.0,48776,,111,"Action, Crime, Drama            ",R
927,Barfi!,2012,8.1,,82459,2.8,151,"Comedy, Drama, Romance            ",Not Rated
928,The Exterminating Angel,1962,8.0,,33474,,95,"Drama, Fantasy            ",Not Rated
929,The Postman,1994,7.7,81.0,36821,21.85,108,"Biography, Comedy, Drama            ",PG
930,Nights of Cabiria,1957,8.1,,49341,0.75,110,Drama            ,Not Rated
931,Pink,2016,8.1,,45457,1.24,136,"Crime, Drama, Thriller            ",Not Rated
932,Jules and Jim,1962,7.7,97.0,41904,,105,"Drama, Romance            ",Not Rated
933,Knockin' on Heaven's Door,1997,7.9,,30887,0.0,87,"Action, Crime, Comedy            ",Not Rated
934,Celda 211,2009,7.6,,68055,,113,"Action, Adventure, Crime            ",
935,The Return,2003,7.9,82.0,45758,0.5,110,Drama            ,Not Rated
936,Veer Zaara,2004,7.8,67.0,53591,2.92,192,"Drama, Family, Musical            ",Not Rated
937,Sherlock Jr.,1924,8.2,,50389,0.98,45,"Action, Comedy, Romance            ",Passed
938,Time of the Gypsies,1988,8.1,,30990,0.28,142,"Comedy, Crime, Drama            ",R
939,Once Upon a Time in Anatolia,2011,7.8,82.0,46711,0.14,157,"Crime, Drama, Thriller            ",Not Rated
940,The Grand Illusion,1937,8.1,,36915,0.17,113,"Drama, War            ",Not Rated
941,Elite Squad 2: The Enemy Within,2010,8.0,71.0,83473,0.1,115,"Action, Crime, Drama            ",Not Rated
942,The Past,2013,7.7,85.0,49219,1.33,130,"Drama, Mystery            ",PG-13
943,The Lost Weekend,1945,7.9,,37558,9.46,101,"Drama, Film-Noir            ",Passed
944,Andaz Apna Apna,1994,8.0,,53583,,160,"Action, Comedy, Romance            ",Not Rated
945,Talvar,2015,8.1,,35686,0.34,132,"Crime, Drama, Mystery            ",Not Rated
946,G.O.R.A.,2004,8.0,,63169,,127,"Adventure, Comedy, Sci-Fi            ",
947,Tae Guk Gi: The Brotherhood of War,2004,8.0,64.0,39918,1.11,140,"Action, Drama, War            ",R
948,The Circus,1928,8.1,90.0,34040,,72,"Comedy, Family, Romance            ",Passed
949,"Like Father, Like Son",2013,7.8,73.0,25353,0.28,121,Drama            ,Not Rated
950,Millennium Actress,2001,7.8,70.0,28447,0.19,87,"Animation, Drama, Fantasy            ",PG
951,C.R.A.Z.Y.,2005,7.9,81.0,33051,,129,"Comedy, Drama            ",Not Rated
952,Jean de Florette,1986,8.1,,26103,4.94,120,"Comedy, Drama            ",PG
953,Badhaai Ho,2018,7.9,,34914,,124,"Comedy, Drama            ",Not Rated
954,Through a Glass Darkly,1961,8.0,84.0,25589,,90,Drama            ,Not Rated
955,Beauty and the Beast,1946,7.9,92.0,26687,0.3,93,"Drama, Fantasy, Romance            ",Not Rated
956,Kind Hearts and Coronets,1949,8.0,,37600,,106,"Comedy, Crime            ",Not Rated
957,My Life as a Zucchini,2016,7.7,85.0,25828,0.29,70,"Animation, Comedy, Drama            ",PG-13
958,Zelig,1983,7.7,,42370,11.8,79,Comedy            ,PG
959,Central Station,1998,8.0,80.0,39944,5.6,110,Drama            ,R
960,A Wednesday,2008,8.1,,78864,,104,"Action, Crime, Drama            ",Not Rated
961,The Edge of Heaven,2007,7.7,85.0,32375,0.74,122,Drama            ,Not Rated
962,Rififi,1955,8.1,97.0,34674,0.06,118,"Crime, Drama, Thriller            ",Not Rated
963,Fireworks,1997,7.7,,30954,0.23,103,"Crime, Drama, Romance            ",
964,Love and Death,1975,7.7,89.0,38874,,85,"Comedy, War            ",PG
965,Haider,2014,8.0,,55273,0.9,160,"Action, Crime, Drama            ",Not Rated
966,Tangerines,2013,8.1,73.0,46531,0.14,87,"Drama, War            ",Not Rated
967,The Rules of the Game,1939,7.9,,29295,,110,"Comedy, Drama            ",Not Rated
968,Super 30,2019,7.9,,32581,2.27,154,"Biography, Drama            ",Not Rated
969,Color It Yellow,2006,8.1,,119298,2.2,167,"Comedy, Crime, Drama            ",Not Rated
970,Hindi Medium,2017,7.8,,29389,,132,"Comedy, Drama            ",Not Rated
971,"Rome, Open City",1945,8.0,,26860,,103,"Drama, Thriller, War            ",Not Rated
972,Sanjuro,1962,8.0,,38517,,96,"Action, Drama, Thriller            ",Not Rated
973,Airlift,2016,7.9,,57259,,130,"Action, Drama, History            ",Not Rated
974,The Bandit,1996,8.1,,70230,,128,"Crime, Drama, Thriller            ",Not Rated
975,Sholay,1975,8.1,,56078,,162,"Action, Adventure, Comedy            ",Not Rated
976,Hera Pheri,2000,8.1,,67246,,156,"Action, Comedy, Crime            ",Not Rated
977,OMG: Oh My God!,2012,8.1,,59300,0.92,125,"Comedy, Drama, Fantasy            ",Not Rated
978,Drishyam,2013,8.3,,41610,,160,"Crime, Drama, Thriller            ",Not Rated
979,Munna Bhai M.B.B.S.,2003,8.1,,82506,,156,"Comedy, Drama            ",Not Rated
980,"Carry On, Munna Bhai",2006,8.0,,47401,2.22,144,"Comedy, Drama, Romance            ",Not Rated
981,Article 15,2019,8.1,,33945,,130,"Crime, Drama, Mystery            ",Not Rated
982,Vizontele,2001,8.0,,36935,,110,"Comedy, Drama            ",
983,Baby,2015,7.9,,58054,,159,"Action, Crime, Thriller            ",Not Rated
984,Bhaag Milkha Bhaag,2013,8.2,,68480,1.63,186,"Biography, Drama, Sport            ",Not Rated
985,Masaan,2015,8.1,,28348,,109,Drama            ,
986,English Vinglish,2012,7.8,,36798,1.67,134,"Comedy, Drama, Family            ",Not Rated
987,Queen,2013,8.1,,66072,1.43,146,"Adventure, Comedy, Drama            ",Not Rated
988,Kahaani,2012,8.1,,63175,1.04,122,"Mystery, Thriller            ",Not Rated
989,Umberto D.,1952,8.2,92.0,26111,0.07,89,Drama            ,Not Rated
990,The Breath,2009,8.0,,33916,,128,"Action, Drama, Thriller            ",
991,Black,2005,8.1,,35133,0.73,122,Drama            ,Not Rated
992,Paan Singh Tomar,2012,8.2,,36532,0.04,135,"Action, Biography, Crime            ",Not Rated
993,Udaan,2010,8.1,,45293,0.01,134,Drama            ,Not Rated
994,Dev.D,2009,7.9,,30917,0.01,144,"Comedy, Drama, Romance            ",Not Rated
995,Special 26,2013,8.0,,56595,1.08,144,"Crime, Drama, Thriller            ",Not Rated
996,Everything's Gonna Be Great,1998,8.1,,25735,,107,"Comedy, Drama, Thriller            ",
997,Sarfarosh,1999,8.1,,25898,,174,"Action, Drama, Thriller            ",Not Rated
998,Vicky Donor,2012,7.8,,43628,0.17,126,"Comedy, Romance            ",Not Rated
999,Anand,1971,8.1,,33988,,122,"Drama, Musical            ",Not Rated
